"place_name","place_coords","enviroment"
"CABA Bucarelli","-34.586872615565284, -58.47820905890534","artificial"
"El Muro de Ramos","-34.644040199452206, -58.558171545834874","artificial"
"Estacion Vertical","-34.530646513245586, -58.497800715018684","artificial"
"CABA Centro","-34.60822223366214, -58.38419750817985","artificial"
"Rustik","-34.569996166547085, -58.49275200303491","artificial"
"Makalu","-34.5421270254852, -58.70785746317022","artificial"
"La Pale El Palomar","-34.61589316077125, -58.58695167470847","artificial"
"Peru Beach","-34.47137759723852, -58.49243828709521","artificial"
"CeNARD","-34.54166657133993, -58.45167393540621","artificial"
"A Tope","-34.460639385080164, -58.52792830275488","artificial"
"V_Once","-34.61128602047, -58.41016457344762","artificial"
"Rocodromo","-34.873922570264526, -57.99339938845739","artificial"
"Club Andinista Mendoza ","-32.894140646110415, -68.81595747716347","artificial"
"Sierra de la Vigilancia","-37.86026084661633, -58.01855026786464","nature"
"Sierra de los Difuntos","-37.893483635190854, -57.8430581983066","nature"
"Nogales","-37.327471278130034, -59.16137554193418","nature"
"Valle del Picapedrero","-37.36019932844069, -59.158238417765425","nature"
"Capilla del Monte","-30.841299870783132, -64.54655750126665","nature"
"Los Gigantes","-31.415832111672227, -64.80269821280348","nature"
"Arenales","-33.6060636781232, -69.51042487666977","nature"
"El Santuario","-34.89334284862615, -68.59228447069623","nature"
"El Valle Encantado","-40.72688320574887, -71.08988767454653","nature"
"El Covisal","-40.15886389726794, -71.31158474703116","nature"
"Piedra Parada","-42.73130122070318, -70.51373733079895","nature"
"Cañadon de las Almendras","-47.15211190186432, -70.66281079376675","nature"
"Paredon de los Condores","-49.33194725738626, -72.8785006684391","nature"
